Date,Campaign Name,AdSet Name,Ad Name,Ad ID,Objective,Placement,Spend, Impressions ,Clicks
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,084.72","  672,490 ",165
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$786.22,"  233,994 ",65
2021-10-07,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$577.70,"  160,472 ",64
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$941.21,"  349,892 ",67
2021-10-07,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$837.83,"  310,307 ",59
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,081.51","  650,472 ",163
2021-10-07,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$722.90,"  208,931 ",60
2021-10-07,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$533.76,"  137,922 ",55
2021-10-07,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$274.17,"  133,741 ",17
2021-10-07,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$300.25,"  159,707 ",19
2021-10-07,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$739.03,"  322,721 ",54
2021-10-07,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$287.67,"  115,996 ",22
2021-10-07,Brand Awareness - Instagram Stories,Website Visitors,Cookie Poll,2341713241,Brand Awareness,Instagram Stories,$193.95,"  68,292 ",18
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Slow-Mo Video,2348438397,Brand Awareness,Facebook+Instagram,$936.01,"  329,581 ",65
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Slow-Mo Video,2341968907,Brand Awareness,Facebook+Instagram,$862.05,"  336,738 ",60
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Slow-Mo Video,2344482216,Brand Awareness,Facebook+Instagram,"$2,349.29","  748,182 ",186
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Slow-Mo Video,2343771880,Brand Awareness,Facebook+Instagram,$812.30,"  249,938 ",66
2021-10-08,Brand Awareness - Facebook+Instagram,Website Visitors,Slow-Mo Video,2348352637,Brand Awareness,Facebook+Instagram,$510.01,"  129,444 ",56
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Video,2340195723,Brand Awareness,Facebook+Instagram,$813.27,"  289,420 ",55
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Video,2345041086,Brand Awareness,Facebook+Instagram,$975.19,"  327,245 ",69
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Video,2344439122,Brand Awareness,Facebook+Instagram,"$2,302.01","  723,903 ",178
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Video,2342514859,Brand Awareness,Facebook+Instagram,$793.23,"  241,103 ",64
2021-10-08,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Video,2340153859,Brand Awareness,Facebook+Instagram,$599.29,"  158,542 ",61
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 18-34,Chocolate Chunk Carousel,2348802358,Brand Awareness,Facebook+Instagram,$964.18,"  330,199 ",68
2021-10-08,Brand Awareness - Facebook+Instagram,Cookie Interests - 25-34,Chocolate Chunk Carousel,2344469921,Brand Awareness,Facebook+Instagram,$955.45,"  318,483 ",64
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 2-5%,Chocolate Chunk Carousel,2343756859,Brand Awareness,Facebook+Instagram,"$2,418.76","  780,245 ",192
2021-10-08,Brand Awareness - Facebook+Instagram,Purchaser Lookalike Audience 1%,Chocolate Chunk Carousel,2343645835,Brand Awareness,Facebook+Instagram,$897.86,"  258,749 ",74
2021-10-08,Brand Awareness - Facebook+Instagram,Website Visitors,Chocolate Chunk Carousel,2343145229,Brand Awareness,Facebook+Instagram,$539.29,"  148,975 ",55
2021-10-08,Brand Awareness - Instagram Stories,Cookie Interests - 18-34,Cookie Poll,2341547820,Brand Awareness,Instagram Stories,$328.00,"  164,000 ",21
2021-10-08,Brand Awareness - Instagram Stories,Cookie Interests - 25-34,Cookie Poll,2343120456,Brand Awareness,Instagram Stories,$303.68,"  158,995 ",19
2021-10-08,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 2-5%,Cookie Poll,2344337612,Brand Awareness,Instagram Stories,$670.48,"  291,513 ",49
2021-10-08,Brand Awareness - Instagram Stories,Purchaser Lookalike Audience 1%,Cookie Poll,2345905323,Brand Awareness,Instagram Stories,$280.14,"  112,960 ",21
